Date,Symbol,Open,High,Low,Close,Volume
2025-02-20,AMZN,224.775,225.13,221.81,222.88,30001665
2025-02-21,AMZN,223.28,223.31,214.74,216.58,55323850
2025-02-24,AMZN,217.45,217.715,212.42,212.71,42387585
2025-02-25,AMZN,211.63,213.34,204.16,212.8,58957977
2025-02-26,AMZN,214.94,218.16,213.09,214.35,39120603
2025-02-27,AMZN,218.35,219.97,208.37,208.74,40548571
2025-02-28,AMZN,208.65,212.62,206.99,212.28,51771737
2025-03-03,AMZN,213.352,214.01,202.55,205.02,42948447
2025-03-04,AMZN,200.11,206.8,197.432,203.8,60853084
2025-03-05,AMZN,204.8,209.98,203.26,208.36,38610085
2025-03-06,AMZN,204.4,205.77,198.3015,200.7,49863755
2025-03-07,AMZN,199.49,202.2653,192.53,199.25,59802821
2025-03-10,AMZN,195.6,196.73,190.85,194.54,61829231
2025-03-11,AMZN,193.9,200.18,193.4,196.59,54002880
2025-03-12,AMZN,200.72,201.52,195.29,198.89,43679284
2025-03-13,AMZN,198.165,198.8799,191.82,193.89,41270761
2025-03-14,AMZN,197.41,198.65,195.32,197.95,38096663
2025-03-17,AMZN,198.77,199.0,194.3247,195.74,47341752
2025-03-18,AMZN,192.52,194.0,189.38,192.82,40414867
2025-03-19,AMZN,193.38,195.965,191.96,195.54,39442878
2025-03-20,AMZN,193.07,199.32,192.3,194.95,38921113
2025-03-21,AMZN,192.9,196.99,192.52,196.21,60056917
2025-03-24,AMZN,200.0,203.64,199.95,203.26,41625365
2025-03-25,AMZN,203.595,206.21,203.22,205.71,31171161
2025-03-26,AMZN,205.835,206.01,199.925,201.13,32990973
2025-03-27,AMZN,200.89,203.79,199.2821,201.36,27317661
2025-03-28,AMZN,198.42,199.26,191.881,192.72,52548226
2025-03-31,AMZN,188.19,191.33,184.4,190.26,63547558
2025-04-01,AMZN,187.86,193.93,187.2,192.17,41267315
2025-04-02,AMZN,187.66,198.34,187.66,196.01,53679198
2025-04-03,AMZN,182.995,184.13,176.92,178.41,95553617
2025-04-04,AMZN,167.145,178.1436,166.0,171.0,123159359
2025-04-07,AMZN,162.0,183.4099,161.38,175.26,109327115
2025-04-08,AMZN,185.23,185.9,168.57,170.66,87710360
2025-04-09,AMZN,172.115,192.65,169.93,191.1,116804328
2025-04-10,AMZN,185.44,186.8692,175.8518,181.22,68302045
2025-04-11,AMZN,179.93,185.86,178.0,184.87,50594339
2025-04-14,AMZN,186.84,187.44,179.23,182.12,48002540
2025-04-15,AMZN,181.41,182.35,177.9331,179.59,43641952
2025-04-16,AMZN,176.29,179.1046,171.41,174.33,51875316
2025-04-17,AMZN,176.0,176.21,172.0,172.61,44726453
2025-04-21,AMZN,169.6,169.6,165.285,167.32,48126111
2025-04-22,AMZN,169.845,176.78,169.35,173.18,56607202
2025-04-23,AMZN,183.45,187.38,180.19,180.6,63470149
2025-04-24,AMZN,180.915,186.74,180.18,186.54,43763196
2025-04-25,AMZN,187.62,189.94,185.49,188.99,36414330
2025-04-28,AMZN,190.105,190.22,184.885,187.7,33224732
2025-04-29,AMZN,183.99,188.0158,183.68,187.39,41667255
2025-04-30,AMZN,182.17,185.05,178.85,184.42,55176543
2025-05-01,AMZN,190.63,191.8071,187.5,190.2,74265963
2025-05-02,AMZN,191.435,192.88,186.4,189.98,77903487
2025-05-05,AMZN,186.51,188.18,185.53,186.35,35217469
2025-05-06,AMZN,184.57,187.93,183.85,185.01,29314055
2025-05-07,AMZN,185.56,190.99,185.01,188.71,44002926
2025-05-08,AMZN,191.43,194.33,188.82,192.08,41043620
2025-05-09,AMZN,193.375,194.69,191.16,193.06,29663143
2025-05-12,AMZN,210.71,211.66,205.75,208.64,75205042
2025-05-13,AMZN,211.08,214.84,210.1,211.37,56193682
2025-05-14,AMZN,211.45,211.93,208.85,210.25,38492128
2025-05-15,AMZN,206.45,206.88,202.673,205.17,64347317
2025-05-16,AMZN,206.85,206.85,204.374,205.59,43318478
2025-05-19,AMZN,201.645,206.62,201.26,206.16,34314810
2025-05-20,AMZN,204.628,205.5899,202.65,204.07,29470373
2025-05-21,AMZN,201.61,203.455,200.06,201.12,42460924
2025-05-22,AMZN,201.38,205.76,200.16,203.1,38938882
2025-05-23,AMZN,198.9,202.37,197.85,200.99,33393545
2025-05-27,AMZN,203.085,206.69,202.19,206.02,34892044
2025-05-28,AMZN,205.915,207.66,204.41,204.72,28549753
2025-05-29,AMZN,208.025,208.81,204.23,205.7,34700005
2025-05-30,AMZN,204.84,205.99,201.695,205.01,51679406
2025-06-02,AMZN,204.98,207.0,202.68,206.65,29113319
2025-06-03,AMZN,207.105,208.9469,205.03,205.71,33139121
2025-06-04,AMZN,206.55,208.18,205.18,207.23,29915592
2025-06-05,AMZN,209.55,212.81,207.56,207.91,51979243
2025-06-06,AMZN,212.4,213.8699,210.5,213.57,39832500
2025-06-09,AMZN,214.75,217.85,212.88,216.98,38102502
2025-06-10,AMZN,216.78,217.69,214.15,217.61,31303317
2025-06-11,AMZN,217.41,218.4,212.89,213.2,39325981
2025-06-12,AMZN,211.78,213.58,211.33,213.24,27639991
2025-06-13,AMZN,209.96,214.05,209.62,212.1,29337763
2025-06-16,AMZN,212.31,217.06,211.6,216.1,33284158
2025-06-17,AMZN,215.195,217.41,214.56,214.82,32086262
2025-06-18,AMZN,215.09,217.96,212.34,212.52,44360509
