Date,Symbol,Open,High,Low,Close,Volume
2025-02-20,GOOGL,184.8,185.31,182.72,184.56,20441462
2025-02-21,GOOGL,185.15,185.34,179.08,179.66,35199239
2025-02-24,GOOGL,181.99,183.12,178.885,179.25,29854206
2025-02-25,GOOGL,178.04,178.74,174.6939,175.42,41913411
2025-02-26,GOOGL,175.07,176.08,171.5807,172.73,35431268
2025-02-27,GOOGL,173.99,174.56,167.94,168.5,39991015
2025-02-28,GOOGL,168.68,170.61,166.77,170.28,48130565
2025-03-03,GOOGL,171.925,173.37,165.93,167.01,40770451
2025-03-04,GOOGL,166.24,173.2946,165.8,170.92,45387996
2025-03-05,GOOGL,170.52,173.78,169.06,173.02,30954922
2025-03-06,GOOGL,170.53,174.81,170.5,172.35,28301953
2025-03-07,GOOGL,171.26,174.97,170.27,173.86,27385813
2025-03-10,GOOGL,168.26,168.46,163.69,165.87,43377356
2025-03-11,GOOGL,164.91,166.75,161.37,164.04,39587414
2025-03-12,GOOGL,166.58,167.6399,163.53,167.11,28372396
2025-03-13,GOOGL,166.035,166.13,162.11,162.76,31756214
2025-03-14,GOOGL,163.27,166.49,162.45,165.49,31995894
2025-03-17,GOOGL,165.03,166.3,163.67,164.29,31184335
2025-03-18,GOOGL,163.675,164.25,156.72,160.67,42074751
2025-03-19,GOOGL,161.76,165.87,161.0,163.89,34275582
2025-03-20,GOOGL,161.57,164.89,160.96,162.8,28138464
2025-03-21,GOOGL,161.205,164.24,160.8901,163.99,36625764
2025-03-24,GOOGL,167.065,168.32,165.14,167.68,30879129
2025-03-25,GOOGL,168.98,170.63,168.315,170.56,24174373
2025-03-26,GOOGL,169.0,169.61,164.84,165.06,28939326
2025-03-27,GOOGL,164.63,165.42,162.0,162.24,24508273
2025-03-28,GOOGL,160.49,161.82,153.63,154.33,48669335
2025-03-31,GOOGL,153.11,155.54,150.662,154.64,54603464
2025-04-01,GOOGL,153.62,158.1,153.62,157.07,30672899
2025-04-02,GOOGL,155.15,158.4052,154.7,157.04,25041730
2025-04-03,GOOGL,151.11,152.7799,150.39,150.72,46883371
2025-04-04,GOOGL,148.01,151.07,145.38,145.6,62259539
2025-04-07,GOOGL,141.55,152.85,140.53,146.75,76794136
2025-04-08,GOOGL,151.22,152.24,143.03,144.7,52200208
2025-04-09,GOOGL,144.415,159.55,143.905,158.71,70406232
2025-04-10,GOOGL,156.54,157.72,149.93,152.82,48021972
2025-04-11,GOOGL,152.9,157.67,152.82,157.14,33636239
2025-04-14,GOOGL,159.995,161.72,157.56,159.07,30332957
2025-04-15,GOOGL,159.125,159.65,155.21,156.31,27551534
2025-04-16,GOOGL,153.1,155.89,151.51,153.33,28187421
2025-04-17,GOOGL,154.29,154.68,148.5,151.16,33046576
2025-04-21,GOOGL,148.88,148.945,146.1,147.67,26049115
2025-04-22,GOOGL,148.89,152.19,148.54,151.47,26971774
2025-04-23,GOOGL,155.61,157.525,153.81,155.35,31128833
2025-04-24,GOOGL,156.15,159.59,155.79,159.28,45893951
2025-04-25,GOOGL,165.07,166.1,161.04,161.96,56033995
2025-04-28,GOOGL,162.425,163.15,158.6,160.61,29745782
2025-04-29,GOOGL,160.325,160.74,157.52,160.16,26808958
2025-04-30,GOOGL,157.975,159.27,155.4,158.8,34981059
2025-05-01,GOOGL,160.45,161.95,158.91,161.3,30203248
2025-05-02,GOOGL,163.405,164.97,161.87,164.03,25715005
2025-05-05,GOOGL,163.0,165.39,162.72,164.21,21341814
2025-05-06,GOOGL,162.17,164.8,161.19,163.23,21277210
2025-05-07,GOOGL,164.08,165.0,147.84,151.38,127747554
2025-05-08,GOOGL,155.0,155.93,152.9,154.28,57498692
2025-05-09,GOOGL,154.17,155.05,152.2,152.75,32435281
2025-05-12,GOOGL,157.485,159.1,156.25,158.46,44138818
2025-05-13,GOOGL,158.79,160.57,156.16,159.53,42382126
2025-05-14,GOOGL,159.96,167.0,159.61,165.37,48755869
2025-05-15,GOOGL,165.84,166.205,162.3732,163.96,33146669
2025-05-16,GOOGL,167.725,169.35,165.62,166.19,42846925
2025-05-19,GOOGL,164.51,166.64,164.22,166.54,30426097
2025-05-20,GOOGL,166.43,168.5,162.9,163.98,46607656
2025-05-21,GOOGL,163.69,173.14,163.56,168.56,73415956
2025-05-22,GOOGL,171.85,176.77,170.71,170.87,74864418
2025-05-23,GOOGL,169.055,169.96,167.89,168.47,35211439
2025-05-27,GOOGL,170.16,173.17,170.0,172.9,37995670
2025-05-28,GOOGL,173.16,175.265,171.9107,172.36,34783997
2025-05-29,GOOGL,174.0,174.4193,170.63,171.86,29373803
2025-05-30,GOOGL,171.35,172.205,167.44,171.74,52639911
2025-06-02,GOOGL,167.84,169.87,167.39,169.03,38612272
2025-06-03,GOOGL,167.49,168.475,165.28,166.18,45084903
2025-06-04,GOOGL,166.735,168.215,166.36,168.05,26900838
2025-06-05,GOOGL,170.34,170.93,167.59,168.21,36444564
2025-06-06,GOOGL,170.83,174.5,170.83,173.68,35731832
2025-06-09,GOOGL,174.54,176.47,174.37,176.09,28935906
2025-06-10,GOOGL,176.2,181.105,174.91,178.6,61766121
2025-06-11,GOOGL,179.77,180.37,176.75,177.35,31646757
2025-06-12,GOOGL,176.18,176.72,174.745,175.7,20941873
2025-06-13,GOOGL,172.44,177.13,172.385,174.67,27663107
2025-06-16,GOOGL,174.73,176.94,174.65,176.77,27389208
2025-06-17,GOOGL,175.7,177.3648,174.58,175.95,24973043
2025-06-18,GOOGL,176.01,176.56,173.2,173.32,28707524
2025-06-20,GOOGL,173.945,174.34,165.46,166.64,75659917
2025-06-23,GOOGL,166.27,167.34,162.0,165.19,57670985
2025-06-24,GOOGL,166.92,168.22,166.13,166.77,40524312
