Date,Symbol,Open,High,Low,Close,Volume
2025-02-20,JPM,278.6750,278.7400,265.7350,266.8000,13846671
2025-02-21,JPM,268.3200,269.1955,262.8400,264.2400,12835566
2025-02-24,JPM,265.4900,267.0000,258.6100,261.3400,10372751
2025-02-25,JPM,262.2300,263.0000,253.3500,257.4000,9608439
2025-02-26,JPM,257.1600,260.9115,256.9300,258.7900,5943585
2025-02-27,JPM,260.1800,263.6400,257.8600,259.0500,8204447
2025-02-28,JPM,260.7300,264.8100,257.8900,264.6500,10467126
2025-03-03,JPM,264.0000,266.3200,257.8200,260.6200,9058307
2025-03-04,JPM,255.2800,257.2300,245.9500,250.2500,13465630
2025-03-05,JPM,251.2500,253.0500,247.8300,251.5300,7861424
2025-03-06,JPM,248.1100,249.3600,243.8500,246.5400,9983235
2025-03-07,JPM,245.2300,246.7200,239.4200,242.2800,20498734
2025-03-10,JPM,236.2100,237.5100,228.7000,232.2200,18730564
2025-03-11,JPM,231.7450,233.3200,226.6900,229.1400,18142995
2025-03-12,JPM,234.0000,234.3200,227.2600,227.9000,16054015
2025-03-13,JPM,229.3000,229.5000,224.2300,225.1900,16467851
2025-03-14,JPM,228.1200,233.1430,227.5800,232.4400,11962108
2025-03-17,JPM,231.1800,235.6695,230.4550,233.9300,9586025
2025-03-18,JPM,234.3200,236.1700,233.5200,234.9700,10344866
2025-03-19,JPM,235.7400,242.3300,234.8900,239.1100,10120588
2025-03-20,JPM,236.5600,241.7600,236.2000,239.0100,8328513
2025-03-21,JPM,237.8100,242.3000,236.5000,241.6300,19326865
2025-03-24,JPM,245.4800,248.6900,244.4100,248.0600,9422650
2025-03-25,JPM,249.3100,251.8200,247.6247,251.1300,9287694
2025-03-26,JPM,252.6000,254.6700,249.7800,251.0300,12785225
2025-03-27,JPM,249.5250,250.6400,247.1800,248.1200,8022517
2025-03-28,JPM,246.9400,249.5050,241.1100,242.8500,11978417
2025-03-31,JPM,239.4100,245.8600,237.3643,245.3000,13602996
2025-04-01,JPM,242.6200,245.6900,240.8818,243.6600,8054683
2025-04-02,JPM,241.6000,247.2450,241.4600,245.8200,7758750
2025-04-03,JPM,234.2700,235.1400,227.3000,228.6900,17188469
2025-04-04,JPM,215.3050,217.7000,208.9300,210.2800,27170689
2025-04-07,JPM,205.7700,222.0530,202.1600,214.4400,22914370
2025-04-08,JPM,223.5200,227.8378,213.2500,216.8700,19485734
2025-04-09,JPM,212.5000,237.4800,211.0000,234.3400,24022350
2025-04-10,JPM,230.0000,230.3499,220.1000,227.1100,18896440
2025-04-11,JPM,226.3100,238.5750,225.0000,236.2000,20284450
2025-04-14,JPM,237.1000,239.7800,233.6301,234.7200,13017824
2025-04-15,JPM,236.1000,238.6500,232.8200,233.1300,10912883
2025-04-16,JPM,232.0000,233.5800,227.9300,229.6100,9322325
2025-04-17,JPM,230.8000,234.3400,230.5500,231.9600,9557946
2025-04-21,JPM,230.6300,231.8100,226.3360,228.9900,8716177
2025-04-22,JPM,231.9800,235.9900,231.3700,235.5900,10701399
2025-04-23,JPM,240.2200,246.7900,240.0000,240.8800,14126766
2025-04-24,JPM,239.7400,245.4695,237.5800,244.6400,9055197
2025-04-25,JPM,244.6500,245.6200,241.7500,243.5500,8588564
2025-04-28,JPM,244.5600,246.8437,240.8400,243.2200,7394297
2025-04-29,JPM,242.1900,245.2500,241.6900,244.6200,7216788
2025-04-30,JPM,241.2100,245.2200,238.4300,244.6200,12991699
2025-05-01,JPM,242.8400,248.4500,242.1700,246.8900,8689579
2025-05-02,JPM,251.2600,253.6187,249.4629,252.5100,7165044
2025-05-05,JPM,251.1800,255.1600,250.5901,252.5600,5450744
2025-05-06,JPM,250.0000,252.6500,249.0000,249.2500,6369934
2025-05-07,JPM,249.8500,252.4500,248.8300,249.3900,8724267
2025-05-08,JPM,251.5700,255.8800,251.5500,253.4700,8320118
2025-05-09,JPM,254.5000,255.5100,252.3400,253.0800,5087639
2025-05-12,JPM,262.9000,263.6000,258.7000,260.0500,9603892
2025-05-13,JPM,261.0300,263.6700,260.3900,263.0100,8588961
2025-05-14,JPM,263.0000,266.6400,262.2900,265.6400,8643060
2025-05-15,JPM,266.9700,269.5200,264.7600,267.4900,9214641
2025-05-16,JPM,267.5000,268.4593,264.7100,267.5600,8932912
2025-05-19,JPM,265.5500,268.3200,261.9300,264.8800,12145045
2025-05-20,JPM,262.5200,266.6600,262.3000,265.6800,8436337
2025-05-21,JPM,264.3500,265.6500,260.7263,261.0400,7464045
2025-05-22,JPM,259.4400,262.3000,258.8687,260.6700,6514113
2025-05-23,JPM,256.8100,261.9900,256.0001,260.7100,6671841
2025-05-27,JPM,262.0400,265.3000,261.9900,265.2900,7506555
2025-05-28,JPM,266.2400,266.7200,262.9000,263.4900,5535408
2025-05-29,JPM,264.8000,265.4099,262.5300,264.3700,5081992
2025-05-30,JPM,263.4500,265.3300,262.7250,264.0000,10977662
2025-06-02,JPM,263.0200,265.0300,261.9000,264.6600,6011165
2025-06-03,JPM,263.7300,266.5800,262.8800,266.2700,6998383
