Date,Symbol,Open,High,Low,Close,Volume
2025-02-20,KO,69.7100,70.0700,69.4200,70.0400,13398010
2025-02-21,KO,70.3200,71.6000,70.1300,71.3500,21662252
2025-02-24,KO,70.8400,71.7300,70.3300,70.5900,21418442
2025-02-25,KO,70.8600,71.7699,70.7300,71.4900,21555588
2025-02-26,KO,71.2700,71.2750,70.5250,70.8000,14531175
2025-02-27,KO,70.7200,71.5350,70.4200,70.8700,16789476
2025-02-28,KO,71.4500,71.5700,70.5600,71.2100,22167379
2025-03-03,KO,70.2400,72.3600,69.7300,72.3200,21717603
2025-03-04,KO,72.0700,72.6500,69.8800,70.1900,25411858
2025-03-05,KO,69.9000,70.7400,69.8400,70.0800,23933629
2025-03-06,KO,70.4100,70.5290,69.4500,70.4600,21694031
2025-03-07,KO,69.6500,71.8200,69.6500,71.4300,28393261
2025-03-10,KO,71.9600,73.2200,71.3200,71.4500,25100223
2025-03-11,KO,71.8750,72.0400,70.6100,71.0400,28076440
2025-03-12,KO,70.3700,70.7300,69.7400,69.9400,18923301
2025-03-13,KO,70.2500,70.2500,69.2810,69.6200,15746568
2025-03-14,KO,68.5100,69.2600,68.3803,69.1600,14205091
2025-03-17,KO,69.2400,70.1700,69.0800,70.1200,15634808
2025-03-18,KO,70.1100,70.1900,69.3000,69.3800,12657615
2025-03-19,KO,68.5500,69.3800,68.5400,69.2800,14780007
2025-03-20,KO,69.3050,69.8100,69.0900,69.7100,16295263
2025-03-21,KO,69.7100,69.9700,68.1800,68.6700,47479473
2025-03-24,KO,68.8000,69.0800,68.3300,68.9500,12575412
2025-03-25,KO,68.9500,69.0800,68.6000,68.8100,12513897
2025-03-26,KO,68.9200,70.3500,68.9000,70.0200,14482764
2025-03-27,KO,70.1800,70.9850,70.0700,70.7400,11663365
2025-03-28,KO,70.8100,71.3150,69.5300,70.3700,17412915
2025-03-31,KO,70.7300,71.9375,70.4900,71.6200,24016866
2025-04-01,KO,71.6800,71.9100,71.1850,71.8700,15309146
2025-04-02,KO,71.9600,72.3600,71.0500,71.3300,14606519
2025-04-03,KO,72.4800,73.9500,72.3200,73.1800,24959593
2025-04-04,KO,72.4200,73.0100,69.7900,69.9300,26517289
