Date,Symbol,Open,High,Low,Close,Volume
2025-02-20,NVDA,140.0300,140.6600,136.7901,140.1100,143903583
2025-02-21,NVDA,140.0400,141.4600,134.0300,134.4300,228217585
2025-02-24,NVDA,136.5600,138.5900,130.0800,130.2800,251381137
2025-02-25,NVDA,129.9800,130.2000,124.4400,126.6300,271428711
2025-02-26,NVDA,129.9850,133.7300,128.4900,131.2800,322553814
2025-02-27,NVDA,135.0000,135.0100,120.0100,120.1500,443175846
2025-02-28,NVDA,118.0200,125.0900,116.4000,124.9200,389091145
2025-03-03,NVDA,123.5100,123.7000,112.2800,114.0600,411381373
2025-03-04,NVDA,110.6450,119.3100,110.1100,115.9900,398163305
2025-03-05,NVDA,117.5800,118.2781,114.5100,117.3000,284337886
2025-03-06,NVDA,113.5300,115.3500,110.2200,110.5700,321181861
2025-03-07,NVDA,111.2500,113.4800,107.5600,112.6900,341755468
2025-03-10,NVDA,109.9000,111.8500,105.4600,106.9800,361107562
2025-03-11,NVDA,106.9900,112.2360,104.7700,108.7600,354865692
2025-03-12,NVDA,114.1200,116.7600,112.8800,115.7400,323857454
2025-03-13,NVDA,117.0300,117.7600,113.7900,115.5800,299033131
2025-03-14,NVDA,118.6100,121.8800,118.1500,121.6700,277593455
2025-03-17,NVDA,122.7400,122.8900,118.0300,119.5300,255501481
2025-03-18,NVDA,118.0000,119.0200,114.5400,115.4300,299686944
2025-03-19,NVDA,117.2700,120.4450,115.6800,117.5200,273426225
2025-03-20,NVDA,116.5500,120.2000,116.4700,118.5300,248829749
2025-03-21,NVDA,116.9400,117.9900,115.4200,117.7000,266498528
2025-03-24,NVDA,119.8800,122.2200,119.3400,121.4100,228452534
2025-03-25,NVDA,120.5450,121.2900,118.9200,120.6900,167447198
2025-03-26,NVDA,118.7300,118.8400,112.7100,113.7600,296431667
2025-03-27,NVDA,111.3500,114.4500,110.6600,111.4300,236902055
2025-03-28,NVDA,111.4850,112.8700,109.0701,109.6700,229872549
2025-03-31,NVDA,105.1300,110.9550,103.6500,108.3800,299212653
2025-04-01,NVDA,108.5150,110.2000,106.4700,110.1500,222614034
2025-04-02,NVDA,107.2900,111.9800,106.7900,110.4200,220601243
2025-04-03,NVDA,103.5100,105.6300,101.6000,101.8000,338769412
2025-04-04,NVDA,98.9100,100.1300,92.1100,94.3100,532273810
2025-04-07,NVDA,87.4600,101.7500,86.6200,97.6400,611041347
2025-04-08,NVDA,103.8050,105.8500,94.4600,96.3000,476243392
2025-04-09,NVDA,98.8900,115.1000,97.5301,114.3300,612918336
2025-04-10,NVDA,109.3700,110.8600,99.1500,107.5700,437812353
2025-04-11,NVDA,108.5000,111.5499,107.4800,110.9300,313417265
2025-04-14,NVDA,114.1100,114.2900,109.0700,110.7100,264705049
2025-04-15,NVDA,110.9700,113.6150,110.5000,112.2000,228966900
2025-04-16,NVDA,104.5500,106.7900,100.4500,104.4900,397016870
2025-04-17,NVDA,104.4500,104.4700,100.0500,101.4900,292517465
2025-04-21,NVDA,98.7700,99.4400,95.0400,96.9100,288501136
2025-04-22,NVDA,98.7800,99.8110,97.2800,98.8900,241004784
2025-04-23,NVDA,104.5200,104.8000,102.0200,102.7100,247525971
2025-04-24,NVDA,103.4750,106.5400,103.1100,106.4300,220815041
