Date,Symbol,Open,High,Low,Close,Volume
2025-02-20,V,355.2300,356.1300,349.0600,350.4900,5697023
2025-02-21,V,350.4900,353.3200,347.4800,348.5300,6924127
2025-02-24,V,348.7550,350.8000,347.3550,349.8600,5055927
2025-02-25,V,351.3700,352.5867,346.0000,352.0900,6191949
2025-02-26,V,350.0000,351.8300,348.9900,350.6300,5960603
2025-02-27,V,351.9000,360.3100,351.6750,355.7400,7298114
2025-02-28,V,354.7100,364.0000,353.7109,362.7100,15857344
2025-03-03,V,363.0000,366.5400,359.5401,361.8200,9099607
2025-03-04,V,360.1100,360.2700,350.4000,352.2300,8955804
2025-03-05,V,350.8300,354.1065,348.9350,352.6800,8244242
2025-03-06,V,345.9600,348.8700,340.3878,344.1600,8611119
2025-03-07,V,340.8700,346.3900,339.1400,345.3200,6358901
2025-03-10,V,339.9400,345.0100,337.6400,341.4800,8190091
2025-03-11,V,338.4100,339.6100,329.5750,332.1400,9776072
2025-03-12,V,335.9700,336.1600,329.1100,332.8400,6295394
2025-03-13,V,330.9900,336.2000,327.7000,328.5500,7915323
2025-03-14,V,327.2100,332.7657,326.3808,331.8000,7810970
2025-03-17,V,330.0300,336.1100,329.7600,334.5500,6149652
2025-03-18,V,335.2900,335.8000,332.3000,334.7700,7778631
2025-03-19,V,336.8000,341.0313,334.5000,339.8700,5615204
2025-03-20,V,339.0000,342.2400,337.6600,339.5000,5432675
2025-03-21,V,337.3700,339.4300,335.5200,335.6600,17279673
2025-03-24,V,338.6500,345.2200,337.6509,343.8700,5675111
2025-03-25,V,344.5600,345.5300,340.6700,344.6200,3931161
2025-03-26,V,345.9900,347.3800,343.0000,344.1800,6187574
2025-03-27,V,344.0000,350.8400,343.3200,349.8600,7254807
2025-03-28,V,349.1900,351.6150,341.6050,342.8500,5687616
2025-03-31,V,339.3500,351.8600,334.4900,350.4600,9950762
2025-04-01,V,350.4400,350.4500,342.5700,346.3500,7473329
2025-04-02,V,343.4400,348.2000,343.0500,346.3300,5682521
2025-04-03,V,333.9000,344.7350,331.0000,339.3900,8792873
2025-04-04,V,330.0000,334.6500,312.1200,313.1300,13201735
2025-04-07,V,302.0700,322.1800,299.0000,312.3200,12163443
2025-04-08,V,322.2400,326.2800,303.9300,308.2700,9569298
2025-04-09,V,305.6350,334.0300,305.6350,332.4300,11361801
2025-04-10,V,328.0200,330.1600,313.2700,324.6100,8709762
2025-04-11,V,324.4300,336.9800,322.5400,333.4000,6804507
2025-04-14,V,336.4100,339.6099,333.1400,335.1800,5011779
2025-04-15,V,336.7200,339.3900,335.0000,335.8100,4386214
2025-04-16,V,335.0000,337.2243,328.8600,331.3300,5850819
2025-04-17,V,331.0700,334.3199,328.4400,329.6100,5655943
2025-04-21,V,329.0000,329.1500,316.6542,320.1000,6362425
2025-04-22,V,323.8550,332.5600,322.3900,331.4000,5435531
2025-04-23,V,337.2400,341.2500,333.2000,334.3700,8906235
2025-04-24,V,333.2800,336.7700,331.2500,335.7100,8055174
2025-04-25,V,334.7600,336.3650,332.1700,335.1700,4452757
2025-04-28,V,336.7750,339.3350,335.0200,337.5100,5422903
2025-04-29,V,338.5000,342.2700,336.4600,341.5200,5519533
2025-04-30,V,334.4400,346.5200,333.2400,345.5000,9526712
2025-05-01,V,345.5800,345.7200,340.1200,342.4500,5849940
2025-05-02,V,347.2200,350.0900,346.1200,347.6000,6113683
2025-05-05,V,347.0000,351.0500,346.1208,348.6400,3865342
2025-05-06,V,346.4000,349.6500,345.7579,347.7000,3438464
2025-05-07,V,348.7000,351.1500,347.2100,349.8500,5454135
2025-05-08,V,352.0000,355.3300,350.9450,351.2700,4156386
2025-05-09,V,351.8300,353.8000,350.6700,352.5400,3086734
2025-05-12,V,359.1400,361.8900,351.1300,355.8500,7985428
2025-05-13,V,355.5200,358.8700,354.5800,356.1400,5406243
2025-05-14,V,356.6700,358.4100,355.2128,356.4600,6208010
2025-05-15,V,356.8900,363.7300,356.6750,362.3000,5826126
2025-05-16,V,362.9500,366.1900,360.8900,365.1200,5838075
2025-05-19,V,363.0200,369.1499,362.3210,367.9000,5081519
2025-05-20,V,367.7800,368.2500,364.6900,366.8400,5281778
2025-05-21,V,363.7200,365.9890,358.0800,358.3000,6125536
2025-05-22,V,357.7550,360.0000,356.5600,357.9700,4936568
2025-05-23,V,353.7450,356.0000,352.2200,353.5400,5346050
2025-05-27,V,355.4100,360.0000,354.4800,359.3000,6316301
2025-05-28,V,359.3400,360.9100,358.0400,359.7300,3299041
2025-05-29,V,360.3500,363.0400,358.7200,362.4000,4590972
2025-05-30,V,361.3500,367.0400,361.3500,365.1900,8726858
2025-06-02,V,362.7700,365.4600,359.9600,365.3200,3845997
2025-06-03,V,364.5800,366.8800,361.5000,365.8600,5221424
2025-06-04,V,366.7100,369.6600,366.3100,368.0000,4202306
2025-06-05,V,370.0000,371.0000,365.9300,366.7700,6884638
2025-06-06,V,369.0100,371.0000,367.5500,370.2200,5008493
2025-06-09,V,369.7900,369.7900,362.0500,366.6600,5000275
2025-06-10,V,367.0000,371.4400,366.6800,370.7000,4109266
2025-06-11,V,370.0000,375.5100,369.3800,373.3100,5562874
2025-06-12,V,372.2300,374.1700,369.5450,371.4000,4874007
2025-06-13,V,361.5050,363.0100,345.0000,352.8500,14181686
2025-06-16,V,356.4900,360.2200,354.3300,355.4800,7234665
2025-06-17,V,353.4900,359.6024,353.3200,357.8400,5559643
2025-06-18,V,357.8500,358.4750,338.0400,340.3800,15008618
2025-06-20,V,338.9500,340.0000,334.9200,338.5700,19332082
2025-06-23,V,337.5000,344.3000,335.6300,343.7500,7553346
2025-06-24,V,351.5200,354.5600,347.9200,351.6300,10171951
2025-06-25,V,350.4500,351.2899,345.2600,345.2600,6836286
2025-06-26,V,343.7750,346.9099,342.0300,346.0300,8829456
2025-06-27,V,346.5900,352.0100,345.6600,348.6100,6601921
2025-06-30,V,349.3500,355.6100,349.0600,355.0500,7080119
2025-07-01,V,353.8200,357.0000,351.4200,355.4700,6653409
2025-07-02,V,354.6000,356.3600,350.0000,354.2200,5131422
